key_url;governor;name;percentage;votes;totalVotes;mascVotes;femnVotes
joao-henrique-durval-carneiro;João Henrique Durval Carneiro;Crisópolis;0,24%;240;16845;8286;8558
joao-santana;João Santana;Crisópolis;0,18%;180;16845;8286;8558
celia-sacramento;Célia Sacramento;Crisópolis;0,09%;90;16845;8286;8558
orlando-andrade;Orlando Andrade;Crisópolis;0,00%;0;16845;8286;8558
rui-costa;Rui Costa;Mulungu do Morro;92,19%;629;10529;5419;5105
ze-ronaldo;Zé Ronaldo;Mulungu do Morro;6,98%;4760;10529;5419;5105
marcos-mendes;Marcos Mendes;Mulungu do Morro;0,16%;110;10529;5419;5105
joao-henrique-durval-carneiro;João Henrique Durval Carneiro;Mulungu do Morro;0,35%;240;10529;5419;5105
joao-santana;João Santana;Mulungu do Morro;0,21%;140;10529;5419;5105
celia-sacramento;Célia Sacramento;Mulungu do Morro;0,12%;80;10529;5419;5105
orlando-andrade;Orlando Andrade;Mulungu do Morro;0,00%;0;10529;5419;5105
rui-costa;Rui Costa;Boa Nova;92,13%;6278;13014;6499;6509
ze-ronaldo;Zé Ronaldo;Boa Nova;6,84%;4660;13014;6499;6509
marcos-mendes;Marcos Mendes;Boa Nova;0,25%;170;13014;6499;6509
joao-henrique-durval-carneiro;João Henrique Durval Carneiro;Boa Nova;0,32%;220;13014;6499;6509
joao-santana;João Santana;Boa Nova;0,35%;240;13014;6499;6509
celia-sacramento;Célia Sacramento;Boa Nova;0,10%;70;13014;6499;6509
orlando-andrade;Orlando Andrade;Boa Nova;0,00%;0;13014;6499;6509
rui-costa;Rui Costa;Manoel Vitorino;92,02%;7745;11619;5885;5734
ze-ronaldo;Zé Ronaldo;Manoel Vitorino;7,31%;6150;11619;5885;5734
marcos-mendes;Marcos Mendes;Manoel Vitorino;0,17%;140;11619;5885;5734
joao-henrique-durval-carneiro;João Henrique Durval Carneiro;Manoel Vitorino;0,12%;100;11619;5885;5734
joao-santana;João Santana;Manoel Vitorino;0,29%;240;11619;5885;5734
celia-sacramento;Célia Sacramento;Manoel Vitorino;0,08%;70;11619;5885;5734
orlando-andrade;Orlando Andrade;Manoel Vitorino;0,02%;20;11619;5885;5734
rui-costa;Rui Costa;Itanagra;91,96%;3409;5587;2704;2882
ze-ronaldo;Zé Ronaldo;Itanagra;7,23%;2680;5587;2704;2882
marcos-mendes;Marcos Mendes;Itanagra;0,03%;10;5587;2704;2882
joao-henrique-durval-carneiro;João Henrique Durval Carneiro;Itanagra;0,35%;130;5587;2704;2882
joao-santana;João Santana;Itanagra;0,30%;110;5587;2704;2882
celia-sacramento;Célia Sacramento;Itanagra;0,13%;50;5587;2704;2882
orlando-andrade;Orlando Andrade;Itanagra;0,00%;0;5587;2704;2882
rui-costa;Rui Costa;Gentio do Ouro;91,90%;573;8962;4300;4661
ze-ronaldo;Zé Ronaldo;Gentio do Ouro;7,47%;4660;8962;4300;4661
marcos-mendes;Marcos Mendes;Gentio do Ouro;0,19%;120;8962;4300;4661
joao-henrique-durval-carneiro;João Henrique Durval Carneiro;Gentio do Ouro;0,13%;80;8962;4300;4661
joao-santana;João Santana;Gentio do Ouro;0,14%;90;8962;4300;4661
celia-sacramento;Célia Sacramento;Gentio do Ouro;0,16%;100;8962;4300;4661
orlando-andrade;Orlando Andrade;Gentio do Ouro;0,00%;0;8962;4300;4661
rui-costa;Rui Costa;Guajeru;91,87%;3605;7453;3709;3737
ze-ronaldo;Zé Ronaldo;Guajeru;7,49%;2940;7453;3709;3737
marcos-mendes;Marcos Mendes;Guajeru;0,13%;50;7453;3709;3737
joao-henrique-durval-carneiro;João Henrique Durval Carneiro;Guajeru;0,15%;60;7453;3709;3737
joao-santana;João Santana;Guajeru;0,28%;110;7453;3709;3737
celia-sacramento;Célia Sacramento;Guajeru;0,08%;30;7453;3709;3737
orlando-andrade;Orlando Andrade;Guajeru;0,00%;0;7453;3709;3737
rui-costa;Rui Costa;Jussara;91,84%;7404;12144;5886;6237
ze-ronaldo;Zé Ronaldo;Jussara;7,60%;6130;12144;5886;6237
marcos-mendes;Marcos Mendes;Jussara;0,12%;100;12144;5886;6237
joao-henrique-durval-carneiro;João Henrique Durval Carneiro;Jussara;0,14%;110;12144;5886;6237
joao-santana;João Santana;Jussara;0,17%;140;12144;5886;6237
celia-sacramento;Célia Sacramento;Jussara;0,10%;80;12144;5886;6237
orlando-andrade;Orlando Andrade;Jussara;0,02%;20;12144;5886;6237
rui-costa;Rui Costa;Nova Redenção;91,84%;3647;6157;3064;3092
ze-ronaldo;Zé Ronaldo;Nova Redenção;7,43%;2950;6157;3064;3092
marcos-mendes;Marcos Mendes;Nova Redenção;0,18%;70;6157;3064;3092
joao-henrique-durval-carneiro;João Henrique Durval Carneiro;Nova Redenção;0,10%;40;6157;3064;3092
joao-santana;João Santana;Nova Redenção;0,25%;100;6157;3064;3092
celia-sacramento;Célia Sacramento;Nova Redenção;0,18%;70;6157;3064;3092
orlando-andrade;Orlando Andrade;Nova Redenção;0,03%;10;6157;3064;3092
rui-costa;Rui Costa;Salinas da Margarida;91,75%;7766;11644;6287;5351
ze-ronaldo;Zé Ronaldo;Salinas da Margarida;7,30%;6180;11644;6287;5351
marcos-mendes;Marcos Mendes;Salinas da Margarida;0,21%;180;11644;6287;5351
joao-henrique-durval-carneiro;João Henrique Durval Carneiro;Salinas da Margarida;0,28%;240;11644;6287;5351
joao-santana;João Santana;Salinas da Margarida;0,35%;300;11644;6287;5351
celia-sacramento;Célia Sacramento;Salinas da Margarida;0,08%;70;11644;6287;5351
orlando-andrade;Orlando Andrade;Salinas da Margarida;0,01%;10;11644;6287;5351
rui-costa;Rui Costa;Malhada;91,71%;7709;13034;6342;6674
ze-ronaldo;Zé Ronaldo;Malhada;7,42%;6240;13034;6342;6674
marcos-mendes;Marcos Mendes;Malhada;0,08%;70;13034;6342;6674
joao-henrique-durval-carneiro;João Henrique Durval Carneiro;Malhada;0,34%;290;13034;6342;6674
joao-santana;João Santana;Malhada;0,34%;290;13034;6342;6674
celia-sacramento;Célia Sacramento;Malhada;0,08%;70;13034;6342;6674
orlando-andrade;Orlando Andrade;Malhada;0,01%;10;13034;6342;6674
rui-costa;Rui Costa;Gongogi;91,69%;2725;4948;2494;2454
ze-ronaldo;Zé Ronaldo;Gongogi;7,34%;2180;4948;2494;2454
marcos-mendes;Marcos Mendes;Gongogi;0,24%;70;4948;2494;2454
joao-henrique-durval-carneiro;João Henrique Durval Carneiro;Gongogi;0,30%;90;4948;2494;2454
joao-santana;João Santana;Gongogi;0,30%;90;4948;2494;2454
celia-sacramento;Célia Sacramento;Gongogi;0,13%;40;4948;2494;2454
orlando-andrade;Orlando Andrade;Gongogi;0,00%;0;4948;2494;2454
rui-costa;Rui Costa;Presidente Dutra;91,67%;7123;10281;5302;4979
ze-ronaldo;Zé Ronaldo;Presidente Dutra;6,77%;5260;10281;5302;4979
marcos-mendes;Marcos Mendes;Presidente Dutra;0,42%;330;10281;5302;4979
joao-henrique-durval-carneiro;João Henrique Durval Carneiro;Presidente Dutra;0,23%;180;10281;5302;4979
joao-santana;João Santana;Presidente Dutra;0,63%;490;10281;5302;4979
celia-sacramento;Célia Sacramento;Presidente Dutra;0,27%;210;10281;5302;4979
orlando-andrade;Orlando Andrade;Presidente Dutra;0,00%;0;10281;5302;4979
rui-costa;Rui Costa;Jacaraci;91,60%;6503;12001;5822;6178
ze-ronaldo;Zé Ronaldo;Jacaraci;6,58%;4670;12001;5822;6178
marcos-mendes;Marcos Mendes;Jacaraci;0,15%;110;12001;5822;6178
joao-henrique-durval-carneiro;João Henrique Durval Carneiro;Jacaraci;0,92%;650;12001;5822;6178
joao-santana;João Santana;Jacaraci;0,28%;200;12001;5822;6178
celia-sacramento;Célia Sacramento;Jacaraci;0,42%;300;12001;5822;6178
orlando-andrade;Orlando Andrade;Jacaraci;0,04%;30;12001;5822;6178
rui-costa;Rui Costa;Jaguaripe;91,49%;8224;13039;6594;6442
ze-ronaldo;Zé Ronaldo;Jaguaripe;7,55%;6790;13039;6594;6442
marcos-mendes;Marcos Mendes;Jaguaripe;0,32%;290;13039;6594;6442
joao-henrique-durval-carneiro;João Henrique Durval Carneiro;Jaguaripe;0,23%;210;13039;6594;6442
joao-santana;João Santana;Jaguaripe;0,24%;220;13039;6594;6442
celia-sacramento;Célia Sacramento;Jaguaripe;0,14%;130;13039;6594;6442
orlando-andrade;Orlando Andrade;Jaguaripe;0,01%;10;13039;6594;6442
rui-costa;Rui Costa;Tabocas do Brejo Velho;91,49%;5592;10264;4984;5269
ze-ronaldo;Zé Ronaldo;Tabocas do Brejo Velho;7,41%;4530;10264;4984;5269
marcos-mendes;Marcos Mendes;Tabocas do Brejo Velho;0,10%;60;10264;4984;5269
joao-henrique-durval-carneiro;João Henrique Durval Carneiro;Tabocas do Brejo Velho;0,38%;230;10264;4984;5269
joao-santana;João Santana;Tabocas do Brejo Velho;0,28%;170;10264;4984;5269
celia-sacramento;Célia Sacramento;Tabocas do Brejo Velho;0,29%;180;10264;4984;5269
orlando-andrade;Orlando Andrade;Tabocas do Brejo Velho;0,05%;30;10264;4984;5269
rui-costa;Rui Costa;Pindaí;91,44%;7361;12366;6141;6219
ze-ronaldo;Zé Ronaldo;Pindaí;7,20%;5800;12366;6141;6219
marcos-mendes;Marcos Mendes;Pindaí;0,19%;150;12366;6141;6219
joao-henrique-durval-carneiro;João Henrique Durval Carneiro;Pindaí;0,68%;550;12366;6141;6219
joao-santana;João Santana;Pindaí;0,27%;220;12366;6141;6219
celia-sacramento;Célia Sacramento;Pindaí;0,20%;160;12366;6141;6219
orlando-andrade;Orlando Andrade;Pindaí;0,01%;10;12366;6141;6219
rui-costa;Rui Costa;Botuporã;91,41%;536;9726;4896;4829
ze-ronaldo;Zé Ronaldo;Botuporã;7,23%;4240;9726;4896;4829
marcos-mendes;Marcos Mendes;Botuporã;0,56%;330;9726;4896;4829
joao-henrique-durval-carneiro;João Henrique Durval Carneiro;Botuporã;0,41%;240;9726;4896;4829
joao-santana;João Santana;Botuporã;0,29%;170;9726;4896;4829
celia-sacramento;Célia Sacramento;Botuporã;0,09%;50;9726;4896;4829
orlando-andrade;Orlando Andrade;Botuporã;0,02%;10;9726;4896;4829
rui-costa;Rui Costa;Novo Horizonte;91,21%;5561;8107;3998;4109
ze-ronaldo;Zé Ronaldo;Novo Horizonte;8,10%;4940;8107;3998;4109
marcos-mendes;Marcos Mendes;Novo Horizonte;0,08%;50;8107;3998;4109
joao-henrique-durval-carneiro;João Henrique Durval Carneiro;Novo Horizonte;0,20%;120;8107;3998;4109
joao-santana;João Santana;Novo Horizonte;0,31%;190;8107;3998;4109
celia-sacramento;Célia Sacramento;Novo Horizonte;0,10%;60;8107;3998;4109
orlando-andrade;Orlando Andrade;Novo Horizonte;0,00%;0;8107;3998;4109
rui-costa;Rui Costa;Andaraí;91,12%;5683;10611;5327;5278
