url_source_gov;governor;url_the_city;name;percentage;votes
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/santa-brigida-ba/governador/;Santa Brígida;89,57%;6.636
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/cravolandia-ba/governador/;Cravolândia;89,55%;2.150
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/urandi-ba/governador/;Urandi;89,55%;7.063
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/sao-sebastiao-do-passe-ba/governador/;São Sebastião do Passé;89,50%;21.343
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/cotegipe-ba/governador/;Cotegipe;89,43%;6.518
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/planaltino-ba/governador/;Planaltino;89,26%;3.755
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/firmino-alves-ba/governador/;Firmino Alves;89,21%;2.597
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/oliveira-dos-brejinhos-ba/governador/;Oliveira dos Brejinhos;89,21%;9.193
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/sebastiao-laranjeiras-ba/governador/;Sebastião Laranjeiras;89,16%;3.801
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/serra-do-ramalho-ba/governador/;Serra do Ramalho;89,16%;12.761
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/castro-alves-ba/governador/;Castro Alves;89,07%;13.081
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/jussiape-ba/governador/;Jussiape;89,04%;3.387
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/aiquara-ba/governador/;Aiquara;89,02%;2.237
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/boninal-ba/governador/;Boninal;88,99%;5.351
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/satiro-dias-ba/governador/;Sátiro Dias;88,98%;7.060
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/lajedo-do-tabocal-ba/governador/;Lajedo do Tabocal;88,84%;3.231
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/maragogipe-ba/governador/;Maragogipe;88,83%;19.893
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/ibipitanga-ba/governador/;Ibipitanga;88,81%;6.600
