Município [-];Código [-];Gentílico [-];Prefeito [2021];Área Territorial - km² [2021];População estimada - pessoas [2021];Densidade demográfica - hab/km² [2010];Escolarização <span>6 a 14 anos</span> - % [2010];IDHM [2010];Mortalidade infantil - óbitos por mil nascidos vivos [2020];Receitas realizadas - R$ (×1000) [2017];Despesas empenhadas - R$ (×1000) [2017];PIB per capita - R$ [2019]
Cícero Dantas;2907806;cícero-dantense;RICARDO ALMEIDA NUNES DA SILVA;819,969;32636;36,5;98;0,585;31,75;58419,1125;56030,79208;9142,41
Cipó;2907905;cipoense;JOSE MARQUES DOS REIS;168,33;17402;122,78;97,6;0,601;21,9;38100,09597;35647,35569;7774,9
Coaraci;2908002;coaraciense;JADSON ALBANO GALVÃO;274,5;16128;74,17;95,1;0,613;15,38;41578,92198;41550,2019;10188,23
Cocos;2908101;coquense;MARCELO DE SOUZA EMERENCIANO;10140,572;18835;1,77;97;0,596;25,55;64480,22598;52555,20411;15847,36
Conceição da Feira;2908200;conceiçoense;JOÃO PEDRO LABRIOLA CARDOZO;164,798;22933;125,19;98,8;0,634;16,81;41522,93877;43835,85071;13763,25
Conceição do Almeida;2908309;almeidense;ADAILTON CAMPOS SOBRAL;284,836;17087;61,7;95,6;0,606;18,63;33636,51858;31631,71848;10148,23
Conceição do Coité;2908408;coiteense;MARCELO PASSOS DE ARAUJO;1015,252;67394;61,06;97,9;0,611;14,42;98868,18761;90040,48457;11407,99
Conceição do Jacuípe;2908507;conjacuipense;TÂNIA MARLI RIBEIRO YOSHIDA;114,869;33631;256,3;98,4;0,663;8,6;74311,01756;68906,96864;88567,45
Conde;2908606;condense;ANTONIO EDUARDO LINS DE CASTRO;931,106;26223;24,49;96,8;0,56;12,38;58788,3479;63818,03498;11066,63
Condeúba;2908705;condeubense;SILVAN BALEEIRO DE SOUSA;1348,039;17113;13,14;98,1;0,582;4,72;43255,77244;37540,92114;9145,92
Contendas do Sincorá;2908804;contendense;MARGARETH PINA SOUZA;977,455;4025;4,46;99;0,577;23,81;17325,38063;15835,87492;10399,89
Coração de Maria;2908903;mariense;KLEY CARNEIRO LIMA;378,42;22391;64,34;98,8;0,592;4,48;53276,952;50151,73365;8903,9
Cordeiros;2909000;cordeirense;DELCI ALVES LUZ;523,64;8667;15,25;98;0,579;-;20717,16768;18587,68923;7163,14
Coribe;2909109;coribense;MURILLO FERREIRA VIANA;2662,819;14108;5,77;97,7;0,6;6,76;49512,77229;38010,52519;9760,86
Coronel João Sá;2909208;joão-saense;CARLOS AUGUSTO SILVEIRA SOBRAL;797,434;15549;19,32;96;0,535;-;39769,26259;42292,97257;9240,57
Correntina;2909307;correntinense;NILSON JOSÉ RODRIGUES;11504,314;32243;2,62;97,6;0,603;19;123134,3289;117411,1125;45631,8
Cotegipe;2909406;cotegipano;MÁRCIA DA SILVA SÁ TELES;4282,775;13756;3,25;94,5;0,59;23,26;37615,44394;35614,13273;9966,97
Cravolândia;2909505;cravolandense;IVETE SOARES TEIXEIRA ARAUJO;182,585;5352;31,08;97,6;0,599;13,7;17626,0686;17371,63342;7691,28
Crisópolis;2909604;crisopolense;LEANDRO DANTAS DE JESUS COSTA;636,609;21219;32,99;96,1;0,543;13,27;46794,77273;45895,77502;7931,73
Cristópolis;2909703;cristopolense;GILSON NASCIMENTO DE SOUZA;1052,837;13981;12,73;98,3;0,614;17,86;34269,36051;30426,33837;8851,39
Cruz das Almas;2909802;cruz-almense;EDNALDO JOSÉ RIBEIRO;139,117;63923;402,12;97,2;0,699;5,09;109107,2839;103853,0403;15514,91
Curaçá;2909901;curaçaense;PEDRO ALVES DE OLIVEIRA;5950,614;35065;5,29;97,4;0,581;16,33;71569,40996;71326,79212;9125,15
Dário Meira;2910008;dário-meirense;WILLIAM ALMEIDA SENA;413,637;10347;28,82;93;0,54;7,35;25390,47667;25681,44858;9758
Dias d'Ávila;2910057;diasdavilense;ALBERTO PEREIRA CASTRO;183,759;83705;360,64;98;0,676;12,43;194450,4561;181456,6668;42624,25
Dom Basílio;2910107;dom-basiliense;ROBERVAL DE CASSIA MEIRA;689,516;12281;16,78;96,1;0,591;-;32078,90841;28380,47062;9683,11
Dom Macedo Costa;2910206;macedense;EGNALDO PITON MOURA;94,778;4072;45,7;99,3;0,632;19,23;14266,11794;12342,23059;8908,89
Elísio Medrado;2910305;medradense;LINSMAR MOURA BITTENCOURT SANTOS;179,329;8129;41,06;99,6;0,623;11,9;19453,56083;18127,99002;7786,15
Encruzilhada;2910404;encruzilhadense;WEKISLEY TEIXEIRA SILVA;1890,133;15914;11,99;95;0,544;14,65;49443,20222;50267,06294;11363,8
Entre Rios;2910503;entrerriense;MANOELITO ARGOLO DOS SANTOS JUNIOR;1187,766;42014;32,81;95,6;0,615;21,57;93732,36422;89847,00737;14370,54
Esplanada;2910602;esplanadense;JOSE NAUDINHO ALVES DOS SANTOS;1299,355;37902;25,27;97,7;0,589;18,11;94071,96907;87463,05107;16975,59
Euclides da Cunha;2910701;euclidense;LUCIANO PINHEIRO DAMASCENO E SANTOS;2025,368;61112;27,75;97,8;0,567;13,35;118713,2807;132809,6258;10665,51
Eunápolis;2910727;eunapolitano;CORDELIA TORRES DE ALMEIDA;1425,97;115360;84,97;96,2;0,677;11,06;256565,0614;251311,0394;27730,51
Fátima;2910750;fatimense;FÁBIO JOSÉ REIS DE ARAUJO;364,419;17801;49,12;98,4;0,559;4,69;39762,16279;42834,29449;11912,33
Feira da Mata;2910776;matense;VALMIR MACEDO RODRIGUES;1176,111;5656;3,78;97,5;0,588;-;18098,70361;16991,26009;9521,62
Feira de Santana;2910800;feirense;COLBERT MARTINS DA SILVA FILHO;1304,425;624107;416,03;97,4;0,712;13,84;1167088,574;1099658,829;24229,74
Filadélfia;2910859;filadelfense;LOURIVALDO PEREIRA MAIA;579,686;16314;29,36;98,4;0,565;25,75;45822,38706;40895,60319;7751,8
Firmino Alves;2910909;firmino-alvense;AURELINO MORENO DA CUNHA NETO;172,353;5641;33,15;95;0,578;-;16165,13007;15348,08844;9140,08
Floresta Azul;2911006;floresta-azulense;GICÉLIA DE SANTANA OLIVEIRA SANTOS;321,013;10525;36,32;92,8;0,557;22,22;34148,89954;22096,61202;8039,09
Formosa do Rio Preto;2911105;formosense;MANOEL AFONSO DE ARAÚJO;15634,328;26111;1,38;97,3;0,618;14,15;115659,7817;101995,3317;72379,97
Gandu;2911204;ganduense;LEONARDO BARBOSA CARDOSO;229,631;32778;124,76;96,8;0,632;18,65;59938,8177;54632,06531;12003,28
Gavião;2911253;gavionense;LAURINDO NAZÁRIO DA SILVA;384,592;4417;12,33;98,8;0,599;-;14795,12779;15463,29695;9197,45
Gentio do Ouro;2911303;gentiense;ROBERIO GOMES CUNHA;3817,946;11284;2,87;97,9;0,559;7,09;34194,09094;25798,3518;12557,37
Glória;2911402;gloriense;DAVID DE SOUZA CAVALCANTI;1566,609;15247;12,01;97,4;0,593;-;34737,20621;35676,60576;12935,21
